cnname,cnbelong,cnprovinceName,cncityName
西交利物浦大学,省教育厅,江苏,苏州市
重庆交通大学,市政府,重庆,南岸区
西安财经大学,省政府,陕西,西安市
广东技术师范大学,省政府,广东,广州市
温州医科大学,省政府,浙江,温州市
武汉纺织大学,省政府,湖北,武汉市
北京舞蹈学院,市政府,北京,海淀区
中国人民警察大学,公安部,河北,廊坊市
昆明理工大学,省政府,云南,昆明市
成都医学院,省政府,四川,成都市
重庆中医药学院,市政府,重庆,璧山区
湖南工商大学,省政府,湖南,长沙市
河南警察学院,省政府,河南,郑州市
浙江农林大学,省政府,浙江,杭州市
浙大城市学院,省政府,浙江,杭州市
中国人民武装警察部队指挥学院,人民武警,天津,河东区
北京信息科技大学,市政府,北京,海淀区
遵义医科大学,省政府,贵州,遵义市
沈阳药科大学,省政府,辽宁,沈阳市
西南民族大学,国民委,四川,成都市
中国刑事警察学院,公安部,辽宁,沈阳市
星海音乐学院,省政府,广东,广州市
安徽工业大学,省政府,安徽,马鞍山市
河北科技大学,省政府,河北,石家庄
中国戏曲学院,市政府,北京,丰台区
安徽医科大学,省政府,安徽,合肥市
沈阳工程学院,省政府,辽宁,沈阳市
天津外国语大学,市政府,天津,河西区
湖南中医药大学,省政府,湖南,长沙市
广西师范大学,自治区政府,广西,桂林市
上海音乐学院,市政府,上海,徐汇区
曲阜师范大学,省政府,山东,济宁市
徐州医科大学,省政府,江苏,徐州市
浙江中医药大学,省政府,浙江,杭州市
香港恒生大学,香港特区教育局,香港,沙田区
郑州轻工业大学,省政府,河南,郑州市
黑龙江大学,省政府,黑龙江,哈尔滨市
浙江科技大学,省政府,浙江,杭州市
桂林医科大学,自治区政府,广西,桂林市
广东以色列理工学院,省教育厅,广东,汕头市
江西理工大学,省政府,江西,赣州市
厦门理工学院,省政府,福建,厦门市
空军工程大学,人民解放军空军,陕西,西安市
广西科技大学,自治区政府,广西,柳州市
中国劳动关系学院,全国总工会,北京,海淀区
四川外国语大学,市政府,重庆,沙坪坝区
海军潜艇学院,人民解放军海军,山东,青岛市
嘉兴大学,省政府,浙江,嘉兴市
常州大学,省政府,江苏,常州市
西南科技大学,省政府,四川,绵阳市
河南科技大学,省政府,河南,洛阳市
云南警官学院,省政府,云南,昆明市
沈阳师范大学,省政府,辽宁,沈阳市
贵州财经大学,省政府,贵州,贵阳市
四川轻化工大学,省政府,四川,自贡市
南华大学,省政府,湖南,衡阳市
齐鲁工业大学,省政府,山东,济南市
