项目名称,项目ID,项目地点
长汀县城市公益性公墓—张坊岽生命公园（工程总承包）招标公告,273402,长汀县
漳州台商投资区现代农业良种区试中心项目招标公告,273400,漳州台商投资区
安溪县慈山农业学校扩建项目二期工程（地块一）——10#宿舍楼、11#食堂（第一标段）（招标公告）,273397,安溪县
德化县水口镇Y119湖柿线长远桥危桥改建工程（招标公告）,273390,德化县
政和县青龙庄老旧小区配套基础设施建设项目（林屯片区一期）,273389,政和县
福建省龙津溪幸福河湖建设项目勘察设计,273387,长泰县
第二批次城区主干道配套管道修复改造工程（可研、设计及造价咨询）（招标公告）,273386,泉港区
沙县区X748渔溪线徐墩村路口至罗溪尾桥段公路修复工程（二期）,273385,沙县
德化县霞田公园（招标公告）,273383,德化县
长泰区城乡供水一体化工程-供水管网及配套设施工程（枋洋片区入户管网工程）设计采购施工总承包,273381,市本级
集美新城社区卫生服务中心（勘察设计“评定分离”）,273380,厦门市
恒丰银行福州分行迁址装修工程（施工）（重新招标）-招标公告,273378,台江区
2024年农村生活污水提升治理项目—蚶江镇（水头村）（招标公告）,273377,石狮市
惠安县东南部海岸带生态保护与修复项目（招标公告）,273376,惠安县
松溪县省级经济开发区三茶统筹产业园建设项目（一期）,273371,松溪县
两岸金融中心片区泥金路（五通路-环岛东路）市政道路工程（施工）,273370,厦门市
2024年清流县林畲镇增发国债高标准农田建设改造提升（灾毁农田修复）项目（续建）,273368,清流县
泉州（南安）光电信息产业基地（一期）基础设施建设项目-光电基地支二路（朗悦公馆段）市政道路工程（招标公告）,273367,南安市
回兴路（宝岛路-九二路）工程（招标公告）,273366,石狮市
美贵路改造项目（施工）-招标公告,273365,福清市
集美新城锦园纵一路及纵二路道路工程（施工）,273364,厦门市
2025年三明市普通国道公路安全提升工程设计养护施工一体化,273362,永安市
城关小学第三校区配套路（施工）-招标公告,273361,福清市
台2024P03（产城融合发展产业园）项目勘察设计,273360,漳州台商投资区
霞浦县城区排水设施提升改造工程（一期）——A标段（监理）重新招标,273359,霞浦县
海翔大道东埔村口等交叉口交通信号灯工程（施工）,273358,厦门市
G237线朱家洋危旧隧道改造、国道 237线岭兜特大桥结构健康监测系统,273357,蕉城区
霞浦东冲半岛中部景区旅游基础设施提升工程— 东冲半岛智慧文旅平台配套工程设计,273356,霞浦县
福清万业港口有限公司1台45T电动正面吊采购安装项目-招标公告,273355,福建省
连江县八一六西路、玉荷西路及龙西路道路改造工程（施工）-招标公告,273353,连江县
武夷山市茶山坳旅游基础设施建设项目工程总承包,273351,武夷山市
武夷新区至沙县高速公路工程勘察监理、设计审查（咨询）沙县至南平高速公路南平段工程际下服务区、徐市服务区空调设备及排风系统二次采购,273347,顺昌县
2024年清流县长校镇高标准农田“五化”建设省级示范项目2024年清流县长校镇高标准农田五化建设省级示范项目,273346,清流县
崇武古城保护与活化项目（东门—西门）内环城路整治市政工程（招标公告）,273344,惠安县
罗源县卫健系统补短板建设项目一期-罗源县总医院中医分院搬迁项目（监理）-招标公告,273340,罗源县
思明区社会治安综合治理中心规范化建设项目（施工）,273337,厦门市
东南联合大学和暨南大学南迁旧校址建设项目全过程工程咨询,273334,建阳区
白沙镇白林路修复提升工程（施工）-招标公告,273332,闽侯县
G228线K4504+070~K4505+472路面改造工程-招标公告,273331,连江县
厦漳扩建南港特大桥结构监测系统实施及漳州辖区桥梁群监测系统实施项目-招标公告,273329,福建省
石湖山保障性租赁住房项目（一期）（施工）,273328,厦门市
福建海事局宁德海事工作船码头工程施工-招标公告,273327,福建省
第二批次城区主干道配套管道修复改造工程全过程咨询（招标公告）,273324,泉港区
福安市湖口排涝站改扩建工程（可研、设计、施工图）,273318,福安市
福建福海创石油化工有限公司芳烃装置优化节能改造项目37-C-105苯&甲苯塔塔内件（重新招标）,273317,市本级
五缘湾2025P11项目工程总承包（EPC）,273315,厦门市
建瓯市黄华山旅游基础设施建设项目（一期）-黄华山体育公园建设及毁损修复项目,273314,建瓯市
荔城区生态农业示范区建设暨耕地整治提升项目（建设运营一体化） 监理,273313,荔城区
厦门市特种设备安全检验实验室（勘察设计“评定分离”）,273312,厦门市
国家税务总局龙岩市税务局综合业务办公用房部分系统维修改造项目,273311,新罗区
龙岩市2025年度G319、G358线国道灾害防治项目设计施工养护运维总承包,273310,上杭县
福州江阴港城经济区友谊大道（现状经三路至港前大道）项目（施工）-招标公告,273308,福清市
连城县北部片区引水和供水工程工程总承包,273307,连城县
